ZONA PORTUARIA;SOCIEDAD PORTUARIA;TIPO DE CARGA;EXPORTACION;IMPORTACIÓN;TRANSBORDO;TRANSITO INTERNACIONAL;FLUVIAL;CABOTAJE;AÑO VIGENCIA;MES VIGENCIA
BUENAVENTURA;SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A;CONTENEDORES;145194;218427;616452;;;;2018;2
CARTAGENA;PUERTO BUENAVISTA S.A;GENERAL;8898;0;0;;;750;2020;11
BUENAVENTURA;SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.;CONTENEDORES;90016;133204;95610;;;;2018;3
CARTAGENA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GENERAL;353;4974;0;427;;;2019;1
GUAJIRA;CERREJON ZONA NORTE S.A.;CONTENEDORES;0;781;0;;;;2018;9
CARTAGENA;VOPAK COLOMBIA S.A.;GRANEL LIQUIDO;0;8892;0;;;1496;2020;3
CARTAGENA;SOCIEDAD PORTUARIA DEL DIQUE S.A.;GRANEL LIQUIDO;0;0;0;;;5662;2019;9
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;GENERAL;0;14500;1429;;;;2020;4
CARTAGENA;SOCIEDAD PORTUARIA BAVARIA S.A;GRANEL SOLIDO DIFER. DE CARBON;55811;0;0;;;;2020;10
BARRANQUILLA;SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;16210;0;;;;2018;6
G. MORROSQUILLO;OLEODUCTO CENTRAL SA;GRANEL LIQUIDO;1613702;0;0;;;;2019;9
GUAJIRA;CERREJON ZONA NORTE S.A.;CONTENEDORES;0;671;0;;;;2018;3
CARTAGENA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;104566;0;;;;2020;2
BARRANQUILLA;SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;41972;0;;;;2020;7
BUENAVENTURA;SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A;GRANEL SOLIDO DIFER. DE CARBON;0;273163;0;;;;2019;6
BUENAVENTURA;SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A;CONTENEDORES;225298;193549;398462;;;;2018;8
BARRANQUILLA;ATUNAMAR LIMITADA;GENERAL;0;0;0;;;4931;2018;4
BUENAVENTURA;SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.;GENERAL;0;36290;0;;;;2018;4
GUAJIRA;CERREJON ZONA NORTE S.A.;GRANEL LIQUIDO;0;23834;0;;;;2020;8
TUMACO;ROMERO Y BURGOS & CIA S.EN C.;GRANEL LIQUIDO;0;0;0;;109;;2019;12
CARTAGENA;ECOPETROL S.A.;GRANEL LIQUIDO;300842;74176;0;;;136971;2019;2
